Policy ID,Insurance Provider,Policy Name,Coverage Type,Premium Amount (Annual),Coverage Details,Eligibility Criteria,Network Hospitals,Claim Settlement Ratio (%),Waiting Period,Exclusions,Additional Benefits,Category
POL3589,Blue Cross,Comprehensive Plus,Individual,15158,"Critical Illness, Surgery","Employed, Company-sponsored",189,79.18,2 years,Cosmetic Surgery,24/7 Teleconsultation,Corporate
POL3590,Humana,Comprehensive Plus,Senior Citizen,47623,"Critical Illness, Surgery","60+ years, Medical Checkup Required",108,92.97,2 years,Pre-existing conditions (2 years),Discounted Medicines,Seniors
POL3591,Kaiser Permanente,Senior Secure,Corporate,36058,"Maternity, Vision, Dental","Employed, Company-sponsored",392,74.24,1 month,Dental & Vision,Discounted Medicines,Children
POL3592,UnitedHealth,Family Protect,Corporate,20007,"Critical Illness, Surgery","60+ years, Medical Checkup Required",441,76.46,6 months,Maternity Benefits,Discounted Medicines,Seniors
POL3593,Kaiser Permanente,Corporate Shield,Senior Citizen,18206,"Critical Illness, Surgery","Self-employed, Tax Benefits",178,97.54,2 years,Dental & Vision,24/7 Teleconsultation,Critical Illness
POL3594,Aetna,Basic Care,Individual,45345,"Hospitalization, OPD","Self-employed, Tax Benefits",296,78.0,6 months,Pre-existing conditions (2 years),Discounted Medicines,Adults
POL3595,Kaiser Permanente,Family Protect,Corporate,35028,"Hospitalization, OPD","Employed, Company-sponsored",170,95.58,1 year,Maternity Benefits,24/7 Teleconsultation,Adults
POL3596,Aetna,Corporate Shield,Family,40093,Full Coverage,"60+ years, Medical Checkup Required",107,89.07,2 years,Cosmetic Surgery,Discounted Medicines,Critical Illness
POL3597,Aetna,Basic Care,Corporate,25468,"Hospitalization, OPD","18-60 years, No pre-existing conditions",143,88.08,3 months,Cosmetic Surgery,Fitness Membership,Adults
POL3598,Blue Cross,Basic Care,Corporate,9227,"Hospitalization, OPD","Self-employed, Tax Benefits",466,80.84,6 months,Dental & Vision,24/7 Teleconsultation,Critical Illness
POL3599,UnitedHealth,Comprehensive Plus,Corporate,16026,"Critical Illness, Surgery","Employed, Company-sponsored",99,79.9,2 years,Maternity Benefits,Discounted Medicines,Children
POL3600,Kaiser Permanente,Basic Care,Family,13316,"Critical Illness, Surgery","Employed, Company-sponsored",363,76.05,1 month,Dental & Vision,Discounted Medicines,Critical Illness
POL3601,Cigna,Family Protect,Individual,18411,"Critical Illness, Surgery","Employed, Company-sponsored",195,95.42,2 years,Dental & Vision,24/7 Teleconsultation,Seniors
POL3602,Humana,Basic Care,Family,33444,"Critical Illness, Surgery","Employed, Company-sponsored",478,87.35,2 years,Dental & Vision,Fitness Membership,Seniors
POL3603,Kaiser Permanente,Basic Care,Individual,22168,Full Coverage,"60+ years, Medical Checkup Required",171,91.77,2 years,Pre-existing conditions (2 years),Free Annual Checkup,Seniors
POL3604,Kaiser Permanente,Family Protect,Individual,48601,"Hospitalization, OPD","60+ years, Medical Checkup Required",60,90.52,2 years,Maternity Benefits,Discounted Medicines,Critical Illness
POL3605,MetLife,Comprehensive Plus,Individual,45930,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",275,73.32,1 month,Cosmetic Surgery,Free Annual Checkup,Critical Illness
POL3606,Kaiser Permanente,Senior Secure,Family,29347,Full Coverage,"Self-employed, Tax Benefits",278,81.22,1 year,Cosmetic Surgery,Free Annual Checkup,Seniors
POL3607,MetLife,Comprehensive Plus,Family,47087,"Critical Illness, Surgery","Self-employed, Tax Benefits",190,97.58,2 years,Pre-existing conditions (2 years),Discounted Medicines,Critical Illness
POL3608,Cigna,Basic Care,Individual,29068,"Maternity, Vision, Dental","Employed, Company-sponsored",382,90.94,2 years,Dental & Vision,Free Annual Checkup,Seniors
POL3609,Blue Cross,Comprehensive Plus,Family,44784,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",274,94.49,2 years,Cosmetic Surgery,Discounted Medicines,Adults
POL3610,Humana,Corporate Shield,Individual,35140,"Maternity, Vision, Dental","Self-employed, Tax Benefits",486,88.21,3 months,Dental & Vision,24/7 Teleconsultation,Corporate
POL3611,Humana,Corporate Shield,Family,27337,"Hospitalization, OPD","Self-employed, Tax Benefits",98,89.96,1 year,Maternity Benefits,24/7 Teleconsultation,Adults
POL3612,MetLife,Senior Secure,Individual,48569,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",216,96.27,3 months,Pre-existing conditions (2 years),Fitness Membership,Corporate
POL3613,Humana,Corporate Shield,Corporate,42306,"Hospitalization, OPD","Self-employed, Tax Benefits",81,74.56,2 years,Dental & Vision,Free Annual Checkup,Children
POL3614,Kaiser Permanente,Critical Guard,Corporate,5159,"Critical Illness, Surgery","60+ years, Medical Checkup Required",313,82.19,3 months,Cosmetic Surgery,Fitness Membership,Adults
POL3615,Blue Cross,Corporate Shield,Senior Citizen,19987,"Hospitalization, OPD","Employed, Company-sponsored",399,71.25,1 month,Cosmetic Surgery,Discounted Medicines,Adults
POL3616,Kaiser Permanente,Basic Care,Corporate,7195,"Critical Illness, Surgery","Self-employed, Tax Benefits",409,86.32,3 months,Pre-existing conditions (2 years),Free Annual Checkup,Children
POL3617,MetLife,Family Protect,Corporate,41935,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",93,74.13,6 months,Cosmetic Surgery,24/7 Teleconsultation,Corporate
POL3618,UnitedHealth,Senior Secure,Family,31823,"Maternity, Vision, Dental","Employed, Company-sponsored",57,91.73,6 months,Pre-existing conditions (2 years),Free Annual Checkup,Corporate
POL3619,Humana,Critical Guard,Corporate,47329,"Hospitalization, OPD","18-60 years, No pre-existing conditions",126,81.87,6 months,Pre-existing conditions (2 years),Fitness Membership,Adults
POL3620,Humana,Critical Guard,Family,20090,"Hospitalization, OPD","18-60 years, No pre-existing conditions",325,78.79,2 years,Dental & Vision,Discounted Medicines,Adults
POL3621,Aetna,Senior Secure,Family,49990,Full Coverage,"Self-employed, Tax Benefits",231,73.13,1 year,Cosmetic Surgery,24/7 Teleconsultation,Critical Illness
POL3622,Aetna,Basic Care,Corporate,44288,"Hospitalization, OPD","Employed, Company-sponsored",321,93.97,3 months,Cosmetic Surgery,Fitness Membership,Corporate
POL3623,Aetna,Comprehensive Plus,Senior Citizen,17990,"Hospitalization, OPD","Employed, Company-sponsored",264,88.72,2 years,Maternity Benefits,Fitness Membership,Children
POL3624,Cigna,Family Protect,Senior Citizen,44489,Full Coverage,"Employed, Company-sponsored",268,77.34,6 months,Maternity Benefits,Discounted Medicines,Adults
POL3625,Blue Cross,Senior Secure,Individual,12971,Full Coverage,"60+ years, Medical Checkup Required",316,96.52,1 month,Dental & Vision,Free Annual Checkup,Children
POL3626,UnitedHealth,Family Protect,Corporate,22459,"Maternity, Vision, Dental","Self-employed, Tax Benefits",309,81.85,6 months,Pre-existing conditions (2 years),Fitness Membership,Critical Illness
POL3627,Kaiser Permanente,Comprehensive Plus,Family,12752,"Maternity, Vision, Dental","Self-employed, Tax Benefits",165,77.51,2 years,Maternity Benefits,Discounted Medicines,Corporate
POL3628,Cigna,Basic Care,Family,36101,"Hospitalization, OPD","Employed, Company-sponsored",127,89.38,6 months,Maternity Benefits,24/7 Teleconsultation,Corporate
POL3629,Aetna,Basic Care,Individual,46571,"Maternity, Vision, Dental","Employed, Company-sponsored",142,80.66,6 months,Pre-existing conditions (2 years),Discounted Medicines,Children
POL3630,Aetna,Corporate Shield,Individual,30079,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",214,86.68,1 month,Dental & Vision,Free Annual Checkup,Adults
POL3631,Cigna,Corporate Shield,Corporate,38186,Full Coverage,"Employed, Company-sponsored",324,93.13,1 year,Cosmetic Surgery,24/7 Teleconsultation,Corporate
POL3632,Kaiser Permanente,Comprehensive Plus,Individual,44348,Full Coverage,"Self-employed, Tax Benefits",397,95.78,1 year,Cosmetic Surgery,Discounted Medicines,Critical Illness
POL3633,Humana,Family Protect,Corporate,11100,"Hospitalization, OPD","18-60 years, No pre-existing conditions",299,89.39,6 months,Dental & Vision,Fitness Membership,Adults
POL3634,Kaiser Permanente,Corporate Shield,Senior Citizen,27063,Full Coverage,"Employed, Company-sponsored",72,73.32,6 months,Cosmetic Surgery,Fitness Membership,Critical Illness
POL3635,Blue Cross,Comprehensive Plus,Corporate,40393,"Maternity, Vision, Dental","Self-employed, Tax Benefits",308,93.02,3 months,Cosmetic Surgery,Free Annual Checkup,Corporate
POL3636,Aetna,Senior Secure,Corporate,22153,"Hospitalization, OPD","60+ years, Medical Checkup Required",61,75.18,1 month,Dental & Vision,24/7 Teleconsultation,Adults
POL3637,UnitedHealth,Comprehensive Plus,Family,15846,"Critical Illness, Surgery","Employed, Company-sponsored",499,80.98,6 months,Cosmetic Surgery,Free Annual Checkup,Critical Illness
POL3638,Kaiser Permanente,Basic Care,Senior Citizen,12012,"Hospitalization, OPD","60+ years, Medical Checkup Required",201,89.4,6 months,Dental & Vision,Free Annual Checkup,Seniors
POL3639,UnitedHealth,Corporate Shield,Individual,10405,Full Coverage,"Self-employed, Tax Benefits",232,76.32,2 years,Pre-existing conditions (2 years),24/7 Teleconsultation,Adults
POL3640,UnitedHealth,Critical Guard,Individual,15678,Full Coverage,"60+ years, Medical Checkup Required",192,82.05,1 year,Dental & Vision,Free Annual Checkup,Seniors
POL3641,UnitedHealth,Basic Care,Individual,24008,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",464,71.93,1 month,Dental & Vision,Free Annual Checkup,Critical Illness
POL3642,Humana,Critical Guard,Family,24624,Full Coverage,"18-60 years, No pre-existing conditions",129,79.45,3 months,Maternity Benefits,Free Annual Checkup,Children
POL3643,Humana,Comprehensive Plus,Individual,8618,"Hospitalization, OPD","Employed, Company-sponsored",313,97.93,1 month,Pre-existing conditions (2 years),Discounted Medicines,Seniors
POL3644,Cigna,Senior Secure,Senior Citizen,38549,Full Coverage,"60+ years, Medical Checkup Required",223,80.89,6 months,Cosmetic Surgery,Discounted Medicines,Seniors
POL3645,Kaiser Permanente,Family Protect,Corporate,46296,"Maternity, Vision, Dental","Employed, Company-sponsored",282,85.05,2 years,Pre-existing conditions (2 years),Discounted Medicines,Adults
POL3646,Humana,Basic Care,Senior Citizen,46618,Full Coverage,"Employed, Company-sponsored",261,83.23,3 months,Cosmetic Surgery,Fitness Membership,Adults
POL3647,Kaiser Permanente,Comprehensive Plus,Family,47929,"Maternity, Vision, Dental","Self-employed, Tax Benefits",132,80.47,3 months,Cosmetic Surgery,Fitness Membership,Critical Illness
POL3648,UnitedHealth,Comprehensive Plus,Family,32606,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",138,81.52,1 month,Maternity Benefits,Free Annual Checkup,Children
POL3649,UnitedHealth,Corporate Shield,Individual,23632,"Maternity, Vision, Dental","Employed, Company-sponsored",72,81.73,1 month,Pre-existing conditions (2 years),Free Annual Checkup,Critical Illness
POL3650,Blue Cross,Basic Care,Family,45429,"Critical Illness, Surgery","Self-employed, Tax Benefits",395,74.51,3 months,Cosmetic Surgery,Discounted Medicines,Seniors
POL3651,Aetna,Basic Care,Individual,31507,Full Coverage,"60+ years, Medical Checkup Required",111,81.7,1 year,Cosmetic Surgery,24/7 Teleconsultation,Critical Illness
POL3652,Aetna,Senior Secure,Individual,18037,"Critical Illness, Surgery","Employed, Company-sponsored",157,74.27,1 month,Pre-existing conditions (2 years),Fitness Membership,Children
POL3653,UnitedHealth,Basic Care,Family,32680,Full Coverage,"Employed, Company-sponsored",305,91.28,1 month,Pre-existing conditions (2 years),Free Annual Checkup,Seniors
POL3654,UnitedHealth,Comprehensive Plus,Family,49492,"Hospitalization, OPD","Employed, Company-sponsored",500,84.63,2 years,Cosmetic Surgery,Fitness Membership,Critical Illness
POL3655,UnitedHealth,Family Protect,Individual,41347,"Maternity, Vision, Dental","Self-employed, Tax Benefits",95,74.06,2 years,Cosmetic Surgery,Free Annual Checkup,Seniors
POL3656,Humana,Family Protect,Corporate,48955,"Critical Illness, Surgery","60+ years, Medical Checkup Required",296,85.62,1 year,Pre-existing conditions (2 years),Fitness Membership,Corporate
POL3657,Aetna,Basic Care,Corporate,38414,"Maternity, Vision, Dental","Employed, Company-sponsored",145,91.4,3 months,Pre-existing conditions (2 years),Discounted Medicines,Corporate
POL3658,Aetna,Senior Secure,Family,40450,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",168,71.54,2 years,Dental & Vision,24/7 Teleconsultation,Adults
POL3659,Humana,Comprehensive Plus,Corporate,45404,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",345,82.22,6 months,Cosmetic Surgery,Fitness Membership,Adults
POL3660,Humana,Comprehensive Plus,Corporate,5475,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",375,91.44,1 year,Pre-existing conditions (2 years),Free Annual Checkup,Corporate
POL3661,Humana,Corporate Shield,Family,47772,Full Coverage,"60+ years, Medical Checkup Required",330,96.99,6 months,Maternity Benefits,24/7 Teleconsultation,Children
POL3662,UnitedHealth,Family Protect,Individual,20041,"Hospitalization, OPD","Employed, Company-sponsored",210,92.15,2 years,Pre-existing conditions (2 years),24/7 Teleconsultation,Adults
POL3663,Cigna,Family Protect,Family,8401,Full Coverage,"60+ years, Medical Checkup Required",320,94.04,6 months,Dental & Vision,24/7 Teleconsultation,Corporate
POL3664,Kaiser Permanente,Corporate Shield,Individual,27232,"Critical Illness, Surgery","Employed, Company-sponsored",478,73.18,3 months,Cosmetic Surgery,Free Annual Checkup,Seniors
POL3665,Blue Cross,Corporate Shield,Corporate,21934,"Hospitalization, OPD","Self-employed, Tax Benefits",479,86.93,1 month,Pre-existing conditions (2 years),Discounted Medicines,Adults
POL3666,Aetna,Critical Guard,Senior Citizen,11532,"Hospitalization, OPD","Self-employed, Tax Benefits",220,72.61,6 months,Cosmetic Surgery,Fitness Membership,Corporate
POL3667,Humana,Family Protect,Senior Citizen,7612,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",371,72.67,6 months,Cosmetic Surgery,Fitness Membership,Seniors
POL3668,MetLife,Senior Secure,Corporate,28036,Full Coverage,"Employed, Company-sponsored",443,97.68,3 months,Maternity Benefits,Fitness Membership,Critical Illness
POL3669,Kaiser Permanente,Senior Secure,Corporate,48795,"Maternity, Vision, Dental","Employed, Company-sponsored",284,84.34,2 years,Maternity Benefits,Free Annual Checkup,Adults
POL3670,UnitedHealth,Family Protect,Senior Citizen,40615,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",119,71.22,2 years,Dental & Vision,Discounted Medicines,Seniors
POL3671,MetLife,Senior Secure,Senior Citizen,13085,"Critical Illness, Surgery","60+ years, Medical Checkup Required",73,75.36,3 months,Maternity Benefits,24/7 Teleconsultation,Children
POL3672,Humana,Corporate Shield,Corporate,25597,"Hospitalization, OPD","Self-employed, Tax Benefits",131,87.98,3 months,Dental & Vision,Free Annual Checkup,Children
POL3673,UnitedHealth,Critical Guard,Individual,34031,"Maternity, Vision, Dental","Self-employed, Tax Benefits",94,89.04,2 years,Cosmetic Surgery,Discounted Medicines,Critical Illness
POL3674,Aetna,Comprehensive Plus,Family,49875,"Hospitalization, OPD","Employed, Company-sponsored",347,94.34,1 year,Pre-existing conditions (2 years),Fitness Membership,Children
POL3675,Blue Cross,Critical Guard,Family,13408,"Maternity, Vision, Dental","Employed, Company-sponsored",166,81.09,1 year,Dental & Vision,Fitness Membership,Children
POL3676,MetLife,Senior Secure,Corporate,15418,Full Coverage,"Employed, Company-sponsored",283,80.75,6 months,Dental & Vision,Discounted Medicines,Children
POL3677,UnitedHealth,Senior Secure,Corporate,19101,Full Coverage,"18-60 years, No pre-existing conditions",147,85.31,6 months,Cosmetic Surgery,Fitness Membership,Seniors
POL3678,UnitedHealth,Family Protect,Senior Citizen,22386,"Hospitalization, OPD","60+ years, Medical Checkup Required",272,95.79,1 month,Maternity Benefits,Free Annual Checkup,Adults
POL3679,Blue Cross,Family Protect,Individual,27743,"Critical Illness, Surgery","Employed, Company-sponsored",202,82.13,2 years,Cosmetic Surgery,24/7 Teleconsultation,Adults
POL3680,Aetna,Comprehensive Plus,Senior Citizen,33066,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",209,91.45,1 month,Cosmetic Surgery,Discounted Medicines,Critical Illness
POL3681,Kaiser Permanente,Family Protect,Senior Citizen,16867,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",96,70.34,3 months,Maternity Benefits,Fitness Membership,Corporate
POL3682,MetLife,Critical Guard,Family,5323,"Hospitalization, OPD","Self-employed, Tax Benefits",314,94.72,2 years,Dental & Vision,Fitness Membership,Critical Illness
POL3683,Humana,Family Protect,Family,21070,"Critical Illness, Surgery","60+ years, Medical Checkup Required",138,81.89,3 months,Dental & Vision,24/7 Teleconsultation,Adults
POL3684,UnitedHealth,Senior Secure,Senior Citizen,33611,"Critical Illness, Surgery","Employed, Company-sponsored",295,97.55,3 months,Cosmetic Surgery,Fitness Membership,Seniors
POL3685,Cigna,Corporate Shield,Corporate,24394,"Hospitalization, OPD","60+ years, Medical Checkup Required",136,77.41,1 year,Cosmetic Surgery,Discounted Medicines,Corporate
POL3686,Humana,Basic Care,Senior Citizen,16310,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",302,71.12,1 month,Dental & Vision,Free Annual Checkup,Seniors
POL3687,Cigna,Comprehensive Plus,Family,39669,"Maternity, Vision, Dental","Employed, Company-sponsored",308,88.99,6 months,Cosmetic Surgery,24/7 Teleconsultation,Children
POL3688,MetLife,Critical Guard,Family,15662,"Maternity, Vision, Dental","Self-employed, Tax Benefits",292,73.5,1 month,Maternity Benefits,Fitness Membership,Seniors
POL3689,MetLife,Critical Guard,Corporate,26698,Full Coverage,"60+ years, Medical Checkup Required",438,73.63,6 months,Pre-existing conditions (2 years),Fitness Membership,Corporate
POL3690,Aetna,Senior Secure,Senior Citizen,46932,Full Coverage,"Self-employed, Tax Benefits",85,78.64,3 months,Maternity Benefits,24/7 Teleconsultation,Children
POL3691,Kaiser Permanente,Comprehensive Plus,Corporate,24037,Full Coverage,"18-60 years, No pre-existing conditions",305,88.39,1 month,Dental & Vision,Fitness Membership,Children
POL3692,Aetna,Comprehensive Plus,Corporate,22320,"Hospitalization, OPD","60+ years, Medical Checkup Required",384,78.6,1 year,Maternity Benefits,24/7 Teleconsultation,Seniors
POL3693,Humana,Senior Secure,Senior Citizen,36654,Full Coverage,"Employed, Company-sponsored",73,89.5,3 months,Dental & Vision,Fitness Membership,Seniors
POL3694,UnitedHealth,Critical Guard,Family,29409,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",173,82.94,1 year,Maternity Benefits,Discounted Medicines,Corporate
POL3695,Cigna,Senior Secure,Individual,14216,"Hospitalization, OPD","Employed, Company-sponsored",340,87.0,1 month,Cosmetic Surgery,24/7 Teleconsultation,Critical Illness
POL3696,Cigna,Comprehensive Plus,Individual,44866,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",442,76.74,2 years,Pre-existing conditions (2 years),Discounted Medicines,Seniors
POL3697,Humana,Basic Care,Individual,42780,"Hospitalization, OPD","Employed, Company-sponsored",447,81.93,6 months,Maternity Benefits,24/7 Teleconsultation,Children
POL3698,Aetna,Basic Care,Family,45792,"Maternity, Vision, Dental","Self-employed, Tax Benefits",419,89.16,2 years,Maternity Benefits,Fitness Membership,Seniors
POL3699,UnitedHealth,Comprehensive Plus,Corporate,12446,"Critical Illness, Surgery","Employed, Company-sponsored",487,82.29,3 months,Dental & Vision,Discounted Medicines,Corporate
POL3700,Kaiser Permanente,Basic Care,Corporate,15778,Full Coverage,"18-60 years, No pre-existing conditions",303,81.27,3 months,Dental & Vision,Discounted Medicines,Seniors
POL3701,Blue Cross,Basic Care,Corporate,23166,"Maternity, Vision, Dental","Employed, Company-sponsored",429,81.83,6 months,Maternity Benefits,Free Annual Checkup,Adults
POL3702,UnitedHealth,Basic Care,Senior Citizen,5455,"Critical Illness, Surgery","60+ years, Medical Checkup Required",294,91.22,6 months,Cosmetic Surgery,24/7 Teleconsultation,Adults
POL3703,UnitedHealth,Basic Care,Corporate,44297,"Hospitalization, OPD","60+ years, Medical Checkup Required",482,71.66,3 months,Cosmetic Surgery,Discounted Medicines,Children
POL3704,Aetna,Senior Secure,Senior Citizen,7184,"Critical Illness, Surgery","Self-employed, Tax Benefits",411,89.14,1 month,Pre-existing conditions (2 years),Fitness Membership,Critical Illness
POL3705,Kaiser Permanente,Corporate Shield,Family,44347,"Hospitalization, OPD","18-60 years, No pre-existing conditions",489,73.84,6 months,Dental & Vision,Discounted Medicines,Adults
POL3706,UnitedHealth,Comprehensive Plus,Corporate,32651,Full Coverage,"60+ years, Medical Checkup Required",406,80.7,1 year,Maternity Benefits,Free Annual Checkup,Seniors
POL3707,MetLife,Comprehensive Plus,Corporate,22894,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",166,90.44,1 month,Maternity Benefits,24/7 Teleconsultation,Critical Illness
POL3708,MetLife,Comprehensive Plus,Senior Citizen,40157,"Hospitalization, OPD","18-60 years, No pre-existing conditions",392,82.21,1 month,Maternity Benefits,Discounted Medicines,Adults
POL3709,MetLife,Critical Guard,Corporate,29222,"Hospitalization, OPD","18-60 years, No pre-existing conditions",69,88.09,6 months,Dental & Vision,Fitness Membership,Critical Illness
POL3710,Aetna,Basic Care,Family,22783,"Critical Illness, Surgery","60+ years, Medical Checkup Required",467,93.25,6 months,Pre-existing conditions (2 years),24/7 Teleconsultation,Children
POL3711,Cigna,Comprehensive Plus,Corporate,20233,"Maternity, Vision, Dental","Employed, Company-sponsored",171,84.71,1 month,Cosmetic Surgery,24/7 Teleconsultation,Corporate
POL3712,Blue Cross,Critical Guard,Family,28913,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",197,73.63,6 months,Cosmetic Surgery,Discounted Medicines,Critical Illness
POL3713,Kaiser Permanente,Senior Secure,Senior Citizen,24025,"Maternity, Vision, Dental","Employed, Company-sponsored",303,92.73,1 year,Pre-existing conditions (2 years),Free Annual Checkup,Seniors
POL3714,Cigna,Basic Care,Family,41201,"Critical Illness, Surgery","Self-employed, Tax Benefits",198,72.41,1 year,Dental & Vision,Fitness Membership,Seniors
POL3715,Humana,Comprehensive Plus,Family,29245,"Maternity, Vision, Dental","Self-employed, Tax Benefits",329,87.47,1 year,Maternity Benefits,Free Annual Checkup,Children
POL3716,Humana,Senior Secure,Corporate,21883,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",305,74.81,1 month,Maternity Benefits,Free Annual Checkup,Children
POL3717,Aetna,Corporate Shield,Senior Citizen,36132,Full Coverage,"18-60 years, No pre-existing conditions",262,88.76,2 years,Dental & Vision,24/7 Teleconsultation,Corporate
POL3718,Humana,Family Protect,Senior Citizen,21918,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",58,85.6,6 months,Pre-existing conditions (2 years),Discounted Medicines,Seniors
POL3719,Aetna,Comprehensive Plus,Family,24690,"Maternity, Vision, Dental","Self-employed, Tax Benefits",85,96.42,1 year,Cosmetic Surgery,Discounted Medicines,Children
POL3720,Humana,Senior Secure,Family,22198,"Critical Illness, Surgery","Employed, Company-sponsored",297,96.32,1 year,Maternity Benefits,Fitness Membership,Adults
POL3721,Cigna,Senior Secure,Senior Citizen,47721,"Maternity, Vision, Dental","Self-employed, Tax Benefits",400,92.14,1 month,Dental & Vision,Fitness Membership,Corporate
POL3722,Blue Cross,Family Protect,Senior Citizen,44690,Full Coverage,"18-60 years, No pre-existing conditions",254,88.57,6 months,Pre-existing conditions (2 years),Fitness Membership,Adults
POL3723,Aetna,Basic Care,Senior Citizen,27125,Full Coverage,"Employed, Company-sponsored",91,75.73,3 months,Pre-existing conditions (2 years),Free Annual Checkup,Corporate
POL3724,UnitedHealth,Comprehensive Plus,Corporate,13719,"Hospitalization, OPD","18-60 years, No pre-existing conditions",309,73.42,1 month,Dental & Vision,Fitness Membership,Critical Illness
POL3725,Cigna,Senior Secure,Corporate,19626,Full Coverage,"18-60 years, No pre-existing conditions",487,80.47,1 year,Cosmetic Surgery,Free Annual Checkup,Seniors
POL3726,UnitedHealth,Family Protect,Individual,7146,"Hospitalization, OPD","Employed, Company-sponsored",304,76.52,2 years,Cosmetic Surgery,Free Annual Checkup,Children
POL3727,UnitedHealth,Basic Care,Family,39827,"Hospitalization, OPD","60+ years, Medical Checkup Required",340,90.58,3 months,Pre-existing conditions (2 years),Discounted Medicines,Adults
POL3728,Kaiser Permanente,Basic Care,Individual,23044,"Hospitalization, OPD","60+ years, Medical Checkup Required",454,90.01,6 months,Maternity Benefits,Discounted Medicines,Adults
POL3729,UnitedHealth,Basic Care,Senior Citizen,40293,"Hospitalization, OPD","60+ years, Medical Checkup Required",88,88.38,6 months,Pre-existing conditions (2 years),Fitness Membership,Corporate
POL3730,MetLife,Corporate Shield,Individual,20252,"Critical Illness, Surgery","Self-employed, Tax Benefits",476,94.79,2 years,Dental & Vision,Free Annual Checkup,Corporate
POL3731,UnitedHealth,Senior Secure,Senior Citizen,13781,Full Coverage,"Self-employed, Tax Benefits",428,82.37,6 months,Maternity Benefits,24/7 Teleconsultation,Seniors
POL3732,Blue Cross,Corporate Shield,Corporate,39259,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",146,95.27,2 years,Cosmetic Surgery,Discounted Medicines,Critical Illness
POL3733,Cigna,Family Protect,Family,9809,"Maternity, Vision, Dental","Self-employed, Tax Benefits",489,86.5,3 months,Dental & Vision,Free Annual Checkup,Critical Illness
POL3734,Aetna,Family Protect,Family,46051,Full Coverage,"60+ years, Medical Checkup Required",314,90.18,6 months,Pre-existing conditions (2 years),Discounted Medicines,Adults
POL3735,Kaiser Permanente,Basic Care,Family,15547,"Critical Illness, Surgery","60+ years, Medical Checkup Required",131,91.37,3 months,Pre-existing conditions (2 years),Discounted Medicines,Seniors
POL3736,Aetna,Family Protect,Individual,7174,"Critical Illness, Surgery","Employed, Company-sponsored",464,96.74,3 months,Maternity Benefits,Free Annual Checkup,Critical Illness
POL3737,Aetna,Corporate Shield,Corporate,5438,Full Coverage,"18-60 years, No pre-existing conditions",121,79.57,1 month,Cosmetic Surgery,Fitness Membership,Critical Illness
POL3738,MetLife,Corporate Shield,Senior Citizen,46716,"Hospitalization, OPD","Employed, Company-sponsored",256,72.67,1 year,Cosmetic Surgery,Discounted Medicines,Critical Illness
POL3739,Humana,Basic Care,Family,32636,"Critical Illness, Surgery","60+ years, Medical Checkup Required",241,84.91,2 years,Dental & Vision,24/7 Teleconsultation,Children
POL3740,MetLife,Corporate Shield,Individual,31775,"Critical Illness, Surgery","Employed, Company-sponsored",395,89.96,1 year,Maternity Benefits,Discounted Medicines,Adults
POL3741,MetLife,Comprehensive Plus,Individual,6870,"Maternity, Vision, Dental","Self-employed, Tax Benefits",364,70.4,6 months,Cosmetic Surgery,Free Annual Checkup,Children
POL3742,Aetna,Corporate Shield,Corporate,13231,"Hospitalization, OPD","18-60 years, No pre-existing conditions",267,71.32,1 month,Maternity Benefits,Free Annual Checkup,Critical Illness
POL3743,Aetna,Basic Care,Individual,30312,Full Coverage,"60+ years, Medical Checkup Required",454,76.75,6 months,Maternity Benefits,Free Annual Checkup,Critical Illness
POL3744,Aetna,Corporate Shield,Corporate,13231,"Critical Illness, Surgery","60+ years, Medical Checkup Required",489,94.97,3 months,Pre-existing conditions (2 years),24/7 Teleconsultation,Children
POL3745,UnitedHealth,Basic Care,Family,49806,"Hospitalization, OPD","18-60 years, No pre-existing conditions",158,74.12,1 month,Maternity Benefits,24/7 Teleconsultation,Adults
POL3746,Blue Cross,Corporate Shield,Corporate,14735,"Critical Illness, Surgery","Self-employed, Tax Benefits",262,81.74,2 years,Cosmetic Surgery,Free Annual Checkup,Adults
